ProductGroupID;ProductGroupDescription;BooksEcobookstoreDescription;BooksFairnopolyID;BooksFairnopolyDescription;BooksGoogleDescription
100;Belletristik;Sonstiges;56;Bücher;Medien > Bücher > Belletristik 
111;Belletristik/Romane, Erzählungen;Romane & Erzählungen;112;Bücher/Romane & Erzählungen;Medien > Bücher > Belletristik
112;Belletristik/Gesamtausgaben;Romane & Erzählungen;202;Bücher/Romane & Erzählungen/Gesamtausgaben;Medien > Bücher > Belletristik 
120;Belletristik/Kriminalromane;Krimis & Thriller;115;Bücher/Krimis & Thriller;Medien > Bücher > Belletristik > Kriminalromane
130;Belletristik/Science Fiction, Fantasy;Science Fiction & Fantasy;181;Bücher/Fantasy;Medien > Bücher > Belletristik > Science Fiction- & Fantasy-Romane
140;Belletristik/Märchen, Sagen, Legenden;Märchen & Sagen;197;Bücher/Romane & Erzählungen/Märchen & Sagen;Medien > Bücher > Belletristik 
150;Belletristik/Lyrik, Dramatik, Essays;Gedichte & Drama;196;Bücher/Romane & Erzählungen/Gedichte & Drama;Medien > Bücher > Belletristik
160;Belletristik/Biografien, Erinnerungen;Romane & Erzählungen;180;Bücher/Biografien;Medien > Bücher > Sachliteratur > Biografien
180;Belletristik/Humor, Cartoons, Comics ;Comics & Manga;114;Bücher/Comics & Manga;Medien > Bücher > Belletristik > Comics
190;Belletristik/Geschenkbücher;Sonstiges;56;Bücher;Medien > Bücher > Belletristik 
200;Kinderbuch, Jugendbuch;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Belletristik > Kinderbücher
210;Kinderbuch, Jugendbuch/Bilderbücher;Kinder & Jugend;218;Bücher/Kinder- & Jugendbücher/Bilderbücher;Medien > Bücher > Belletristik > Kinderbücher 
220;Kinderbuch, Jugendbuch/Sachbilderbücher;Kinder & Jugend;218;Bücher/Kinder- & Jugendbücher/Bilderbücher;Medien > Bücher > Belletristik > Kinderbücher
230;Kinderbuch, Jugendbuch/Geschichten, Reime;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Belletristik > Kinderbücher
240;Kinderbuch, Jugendbuch/Erstlesealter;Kinder & Jugend;217;Bücher/Kinder- & Jugendbücher/Leseanfänger;Medien > Bücher > Belletristik > Kinderbücher
250;Kinderbuch, Jugendbuch/Romane, Erzählungen;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Belletristik > Kinderbücher 
260;Kinderbuch, Jugendbuch/Märchen, Sagen;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Belletristik > Kinderbücher
270;Kinderbuch, Jugendbuch/Tiergeschichten;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Belletristik > Kinderbücher
280;Kinderbuch, Jugendbuch/Sachbücher;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Sachliteratur > Sachliteratur für Jugendliche 
281;Kinderbuch, Jugendbuch/Sachbücher/Nachschlagewerke;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Sachliteratur > Sachliteratur für Jugendliche
282;Kinderbuch, Jugendbuch/Sachbücher/Tiere, Pflanzen, Natur;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Sachliteratur > Sachliteratur für Jugendliche
283;Kinderbuch, Jugendbuch/Sachbücher/Naturwissenschaften, Technik;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Sachliteratur > Sachliteratur für Jugendliche
284;Kinderbuch, Jugendbuch/Sachbücher/Recht, Wirtschaft;Kinder & Jugend;113;Bücher/Kinder- & Jugendbücher;Medien > Bücher > Sachliteratur > Sachliteratur für Jugendliche 
